gene_id	gene_name	description	gene_biotype
ENSMUSG00000097893	1700034P13Rik	RIKEN cDNA 1700034P13 gene [Source:MGI Symbol;Acc:MGI:1920581]	lncRNA
ENSMUSG00000025915	Sgk3	serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]	protein_coding
ENSMUSG00000046101	Mcmdc2	minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334]	protein_coding
ENSMUSG00000098234	Snhg6	small nucleolar RNA host gene 6 [Source:MGI Symbol;Acc:MGI:1921074]	lncRNA
ENSMUSG00000099032	Tcf24	transcription factor 24 [Source:MGI Symbol;Acc:MGI:3780500]	protein_coding
ENSMUSG00000025916	Ppp1r42	protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]	protein_coding
ENSMUSG00000087199	Gm15818	predicted gene 15818 [Source:MGI Symbol;Acc:MGI:3801960]	lncRNA
ENSMUSG00000025917	Cops5	COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]	protein_coding
ENSMUSG00000056763	Cspp1	centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]	protein_coding
ENSMUSG00000067851	Arfgef1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]	protein_coding
ENSMUSG00000042501	Cpa6	carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348]	protein_coding
ENSMUSG00000048960	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]	protein_coding
ENSMUSG00000057715	A830018L16Rik	RIKEN cDNA A830018L16 gene [Source:MGI Symbol;Acc:MGI:2444149]	protein_coding
ENSMUSG00000097171	Gm17644	predicted gene, 17644 [Source:MGI Symbol;Acc:MGI:4937278]	lncRNA
ENSMUSG00000101314	Gm29663	predicted gene 29663 [Source:MGI Symbol;Acc:MGI:5580369]	lncRNA
ENSMUSG00000016918	Sulf1	sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563]	protein_coding
ENSMUSG00000025938	Slco5a1	solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]	protein_coding
ENSMUSG00000099498	Gm29283	predicted gene 29283 [Source:MGI Symbol;Acc:MGI:5579989]	lncRNA
ENSMUSG00000042414	Prdm14	PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194]	protein_coding
ENSMUSG00000005886	Ncoa2	nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:1276533]	protein_coding
ENSMUSG00000101476	Gm29570	predicted gene 29570 [Source:MGI Symbol;Acc:MGI:5580276]	lncRNA
ENSMUSG00000025935	Tram1	translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515]	protein_coding
ENSMUSG00000025937	Lactb2	lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]	protein_coding
ENSMUSG00000067813	Xkr9	X-linked Kx blood group related 9 [Source:MGI Symbol;Acc:MGI:2686466]	protein_coding
ENSMUSG00000025932	Eya1	EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344]	protein_coding
ENSMUSG00000054493	Gm9947	predicted gene 9947 [Source:MGI Symbol;Acc:MGI:3642739]	lncRNA
ENSMUSG00000025930	Msc	musculin [Source:MGI Symbol;Acc:MGI:1333884]	protein_coding
ENSMUSG00000032769	Trpa1	transient receptor potential cation channel, subfamily A, member 1 [Source:MGI Symbol;Acc:MGI:3522699]	protein_coding
ENSMUSG00000092083	Kcnb2	potassium voltage gated channel, Shab-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:99632]	protein_coding
ENSMUSG00000025925	Terf1	telomeric repeat binding factor 1 [Source:MGI Symbol;Acc:MGI:109634]	protein_coding
ENSMUSG00000032719	Sbspon	somatomedin B and thrombospondin, type 1 domain containing [Source:MGI Symbol;Acc:MGI:2684952]	protein_coding
ENSMUSG00000067795	4930444P10Rik	RIKEN cDNA 4930444P10 gene [Source:MGI Symbol;Acc:MGI:1923049]	protein_coding
ENSMUSG00000043716	Rpl7	ribosomal protein L7 [Source:MGI Symbol;Acc:MGI:98073]	protein_coding
ENSMUSG00000025921	Rdh10	retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238]	protein_coding
ENSMUSG00000100868	Gm28095	predicted gene 28095 [Source:MGI Symbol;Acc:MGI:5578801]	lncRNA
ENSMUSG00000025920	Stau2	staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508]	protein_coding
ENSMUSG00000089982	Gm7568	predicted gene 7568 [Source:MGI Symbol;Acc:MGI:3649156]	lncRNA
ENSMUSG00000025939	Ube2w	ubiquitin-conjugating enzyme E2W (putative) [Source:MGI Symbol;Acc:MGI:1914049]	protein_coding
ENSMUSG00000079658	Eloc	elongin C [Source:MGI Symbol;Acc:MGI:1915173]	protein_coding
ENSMUSG00000097744	D030040B21Rik	RIKEN cDNA D030040B21 gene [Source:MGI Symbol;Acc:MGI:4437728]	lncRNA
ENSMUSG00000025940	Tmem70	transmembrane protein 70 [Source:MGI Symbol;Acc:MGI:1915068]	protein_coding
ENSMUSG00000025779	Ly96	lymphocyte antigen 96 [Source:MGI Symbol;Acc:MGI:1341909]	protein_coding
ENSMUSG00000101640	Gm28376	predicted gene 28376 [Source:MGI Symbol;Acc:MGI:5579082]	lncRNA
ENSMUSG00000042686	Jph1	junctophilin 1 [Source:MGI Symbol;Acc:MGI:1891495]	protein_coding
ENSMUSG00000100110	Gm28783	predicted gene 28783 [Source:MGI Symbol;Acc:MGI:5579489]	lncRNA
ENSMUSG00000025777	Gdap1	ganglioside-induced differentiation-associated-protein 1 [Source:MGI Symbol;Acc:MGI:1338002]	protein_coding
ENSMUSG00000099899	Gm28784	predicted gene 28784 [Source:MGI Symbol;Acc:MGI:5579490]	lncRNA
ENSMUSG00000067780	Pi15	peptidase inhibitor 15 [Source:MGI Symbol;Acc:MGI:1934659]	protein_coding
ENSMUSG00000100053	Gm28154	predicted gene 28154 [Source:MGI Symbol;Acc:MGI:5578860]	lncRNA
ENSMUSG00000085125	Gm16070	predicted gene 16070 [Source:MGI Symbol;Acc:MGI:3801761]	lncRNA
ENSMUSG00000025776	Crispld1	cysteine-rich secretory protein LCCL domain containing 1 [Source:MGI Symbol;Acc:MGI:1934666]	protein_coding
ENSMUSG00000099895	Gm28153	predicted gene 28153 [Source:MGI Symbol;Acc:MGI:5578859]	lncRNA
ENSMUSG00000109887	Gm28756	predicted gene 28756 [Source:MGI Symbol;Acc:MGI:5579462]	lncRNA
ENSMUSG00000025774	Crisp4	cysteine-rich secretory protein 4 [Source:MGI Symbol;Acc:MGI:1925331]	protein_coding
ENSMUSG00000073735	Defb18	defensin beta 18 [Source:MGI Symbol;Acc:MGI:3648148]	protein_coding
ENSMUSG00000067773	Defb41	defensin beta 41 [Source:MGI Symbol;Acc:MGI:1924923]	protein_coding
ENSMUSG00000089787	Gm15825	predicted gene 15825 [Source:MGI Symbol;Acc:MGI:3801887]	lncRNA
ENSMUSG00000042596	Tfap2d	transcription factor AP-2, delta [Source:MGI Symbol;Acc:MGI:2153466]	protein_coding
ENSMUSG00000025927	Tfap2b	transcription factor AP-2 beta [Source:MGI Symbol;Acc:MGI:104672]	protein_coding
ENSMUSG00000100538	Gm28340	predicted gene 28340 [Source:MGI Symbol;Acc:MGI:5579046]	lncRNA
ENSMUSG00000043760	Pkhd1	polycystic kidney and hepatic disease 1 [Source:MGI Symbol;Acc:MGI:2155808]	protein_coding
ENSMUSG00000089914	4930486I03Rik	RIKEN cDNA 4930486I03 gene [Source:MGI Symbol;Acc:MGI:1922278]	lncRNA
ENSMUSG00000099906	Gm28653	predicted gene 28653 [Source:MGI Symbol;Acc:MGI:5579359]	lncRNA
ENSMUSG00000025929	Il17a	interleukin 17A [Source:MGI Symbol;Acc:MGI:107364]	protein_coding
ENSMUSG00000041872	Il17f	interleukin 17F [Source:MGI Symbol;Acc:MGI:2676631]	protein_coding
ENSMUSG00000041859	Mcm3	minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845]	protein_coding
ENSMUSG00000102121	Gm28065	predicted gene 28065 [Source:MGI Symbol;Acc:MGI:5578771]	lncRNA
ENSMUSG00000097934	6720483E21Rik	RIKEN cDNA 6720483E21 gene [Source:MGI Symbol;Acc:MGI:1924991]	lncRNA
ENSMUSG00000025931	Paqr8	progestin and adipoQ receptor family member VIII [Source:MGI Symbol;Acc:MGI:1921479]	protein_coding
ENSMUSG00000041809	Efhc1	EF-hand domain (C-terminal) containing 1 [Source:MGI Symbol;Acc:MGI:1919127]	protein_coding
ENSMUSG00000041779	Tram2	translocating chain-associating membrane protein 2 [Source:MGI Symbol;Acc:MGI:1924817]	protein_coding
ENSMUSG00000099971	Gm28287	predicted gene 28287 [Source:MGI Symbol;Acc:MGI:5578993]	lncRNA
ENSMUSG00000025933	Tmem14a	transmembrane protein 14A [Source:MGI Symbol;Acc:MGI:1922962]	protein_coding
ENSMUSG00000025934	Gsta3	glutathione S-transferase, alpha 3 [Source:MGI Symbol;Acc:MGI:95856]	protein_coding
ENSMUSG00000099343	Gm28836	predicted gene 28836 [Source:MGI Symbol;Acc:MGI:5579542]	lncRNA
ENSMUSG00000067750	Khdc1a	KH domain containing 1A [Source:MGI Symbol;Acc:MGI:2676610]	protein_coding
ENSMUSG00000041722	Khdc1c	KH domain containing 1C [Source:MGI Symbol;Acc:MGI:3583007]	protein_coding
ENSMUSG00000085079	Khdc1b	KH domain containing 1B [Source:MGI Symbol;Acc:MGI:2138477]	protein_coding
ENSMUSG00000028033	Kcnq5	potassium voltage-gated channel, subfamily Q, member 5 [Source:MGI Symbol;Acc:MGI:1924937]	protein_coding
ENSMUSG00000041670	Rims1	regulating synaptic membrane exocytosis 1 [Source:MGI Symbol;Acc:MGI:2152971]	protein_coding
ENSMUSG00000101227	Gm29506	predicted gene 29506 [Source:MGI Symbol;Acc:MGI:5580212]	lncRNA
ENSMUSG00000073730	4933415F23Rik	RIKEN cDNA 4933415F23 gene [Source:MGI Symbol;Acc:MGI:1914005]	protein_coding
ENSMUSG00000097970	Gm27028	predicted gene, 27028 [Source:MGI Symbol;Acc:MGI:5504143]	lncRNA
ENSMUSG00000100775	Gm29107	predicted gene 29107 [Source:MGI Symbol;Acc:MGI:5579813]	lncRNA
ENSMUSG00000026158	Ogfrl1	opioid growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:1917405]	protein_coding
ENSMUSG00000099503	Gm28822	predicted gene 28822 [Source:MGI Symbol;Acc:MGI:5579528]	lncRNA
ENSMUSG00000026156	B3gat2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:MGI Symbol;Acc:MGI:2389490]	protein_coding
ENSMUSG00000026155	Smap1	small ArfGAP 1 [Source:MGI Symbol;Acc:MGI:2138261]	protein_coding
ENSMUSG00000026154	Sdhaf4	succinate dehydrogenase complex assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915252]	protein_coding
ENSMUSG00000026153	Fam135a	family with sequence similarity 135, member A [Source:MGI Symbol;Acc:MGI:1915437]	protein_coding
ENSMUSG00000026147	Col9a1	collagen, type IX, alpha 1 [Source:MGI Symbol;Acc:MGI:88465]	protein_coding
ENSMUSG00000026141	Col19a1	collagen, type XIX, alpha 1 [Source:MGI Symbol;Acc:MGI:1095415]	protein_coding
ENSMUSG00000073725	Lmbrd1	LMBR1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1915671]	protein_coding
ENSMUSG00000100483	Gm28237	predicted gene 28237 [Source:MGI Symbol;Acc:MGI:5578943]	lncRNA
ENSMUSG00000099392	Gm29414	predicted gene 29414 [Source:MGI Symbol;Acc:MGI:5580120]	lncRNA
ENSMUSG00000033569	Adgrb3	adhesion G protein-coupled receptor B3 [Source:MGI Symbol;Acc:MGI:2441837]	protein_coding
ENSMUSG00000073722	4931408C20Rik	RIKEN cDNA 4931408C20 gene [Source:MGI Symbol;Acc:MGI:3588222]	protein_coding
ENSMUSG00000101514	Gm5524	predicted gene 5524 [Source:MGI Symbol;Acc:MGI:3646041]	lncRNA
ENSMUSG00000048411	Gm597	predicted gene 597 [Source:MGI Symbol;Acc:MGI:2685443]	protein_coding
ENSMUSG00000053185	Gm9898	predicted gene 9898 [Source:MGI Symbol;Acc:MGI:3642391]	lncRNA
ENSMUSG00000048874	Phf3	PHD finger protein 3 [Source:MGI Symbol;Acc:MGI:2446126]	protein_coding
ENSMUSG00000026064	Ptp4a1	protein tyrosine phosphatase 4a1 [Source:MGI Symbol;Acc:MGI:1277096]	protein_coding
ENSMUSG00000117310	Ptp4a1.1	protein tyrosine phosphatase 4a1 [Source:MGI Symbol;Acc:MGI:1277096]	protein_coding
ENSMUSG00000117091	Gm5698	predicted gene 5698 [Source:MGI Symbol;Acc:MGI:3649020]	protein_coding
ENSMUSG00000086727	4931428L18Rik	RIKEN cDNA 4931428L18 gene [Source:MGI Symbol;Acc:MGI:1918238]	protein_coding
ENSMUSG00000100237	Gm28644	predicted gene 28644 [Source:MGI Symbol;Acc:MGI:5579350]	lncRNA
ENSMUSG00000100910	Gm29128	predicted gene 29128 [Source:MGI Symbol;Acc:MGI:5579834]	lncRNA
ENSMUSG00000050217	Lgsn	lengsin, lens protein with glutamine synthetase domain [Source:MGI Symbol;Acc:MGI:2672844]	protein_coding
ENSMUSG00000026063	Pih1d3	PIH1 domain containing 3 [Source:MGI Symbol;Acc:MGI:1921958]	protein_coding
ENSMUSG00000026058	Khdrbs2	KH domain containing, RNA binding, signal transduction associated 2 [Source:MGI Symbol;Acc:MGI:2159649]	protein_coding
ENSMUSG00000091318	Gm5415	predicted gene 5415 [Source:MGI Symbol;Acc:MGI:3644687]	protein_coding
ENSMUSG00000102917	Gm37724	predicted gene, 37724 [Source:MGI Symbol;Acc:MGI:5610952]	lncRNA
ENSMUSG00000104230	Gm37591	predicted gene, 37591 [Source:MGI Symbol;Acc:MGI:5610819]	lncRNA
ENSMUSG00000026134	Prim2	DNA primase, p58 subunit [Source:MGI Symbol;Acc:MGI:97758]	protein_coding
ENSMUSG00000004768	Rab23	RAB23, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:99833]	protein_coding
ENSMUSG00000042215	Bag2	BCL2-associated athanogene 2 [Source:MGI Symbol;Acc:MGI:1891254]	protein_coding
ENSMUSG00000042197	Zfp451	zinc finger protein 451 [Source:MGI Symbol;Acc:MGI:2137896]	protein_coding
ENSMUSG00000042182	Bend6	BEN domain containing 6 [Source:MGI Symbol;Acc:MGI:2444572]	protein_coding
ENSMUSG00000026131	Dst	dystonin [Source:MGI Symbol;Acc:MGI:104627]	protein_coding
ENSMUSG00000096992	Gm26788	predicted gene, 26788 [Source:MGI Symbol;Acc:MGI:5477282]	lncRNA
ENSMUSG00000104397	Gm37958	predicted gene, 37958 [Source:MGI Symbol;Acc:MGI:5611186]	lncRNA
ENSMUSG00000102336	Gm37233	predicted gene, 37233 [Source:MGI Symbol;Acc:MGI:5610461]	lncRNA
ENSMUSG00000042111	Ccdc115	coiled-coil domain containing 115 [Source:MGI Symbol;Acc:MGI:1916918]	protein_coding
ENSMUSG00000101711	Gm28306	predicted gene 28306 [Source:MGI Symbol;Acc:MGI:5579012]	lncRNA
ENSMUSG00000026127	Imp4	IMP4, U3 small nucleolar ribonucleoprotein [Source:MGI Symbol;Acc:MGI:106572]	protein_coding
ENSMUSG00000026126	Ptpn18	protein tyrosine phosphatase, non-receptor type 18 [Source:MGI Symbol;Acc:MGI:108410]	protein_coding
ENSMUSG00000100280	Gm28417	predicted gene 28417 [Source:MGI Symbol;Acc:MGI:5579123]	lncRNA
ENSMUSG00000101223	4930568A12Rik	RIKEN cDNA 4930568A12 gene [Source:MGI Symbol;Acc:MGI:1923133]	lncRNA
ENSMUSG00000026125	Prss39	protease, serine 39 [Source:MGI Symbol;Acc:MGI:1270856]	protein_coding
ENSMUSG00000026124	Cfc1	cripto, FRL-1, cryptic family 1 [Source:MGI Symbol;Acc:MGI:109448]	protein_coding
ENSMUSG00000037529	Prss40	protease, serine 40 [Source:MGI Symbol;Acc:MGI:1270857]	protein_coding
ENSMUSG00000045815	1700101I19Rik	RIKEN cDNA 1700101I19 gene [Source:MGI Symbol;Acc:MGI:1920839]	lncRNA
ENSMUSG00000045174	Amer3	APC membrane recruitment 3 [Source:MGI Symbol;Acc:MGI:3026939]	protein_coding
ENSMUSG00000037509	Arhgef4	Rho guanine nucleotide exchange factor (GEF) 4 [Source:MGI Symbol;Acc:MGI:2442507]	protein_coding
ENSMUSG00000118272	Arhgef4.1	Rho guanine nucleotide exchange factor (GEF) 4 [Source:MGI Symbol;Acc:MGI:2442507]	protein_coding
ENSMUSG00000104002	Gm38336	predicted gene, 38336 [Source:MGI Symbol;Acc:MGI:5611564]	lncRNA
ENSMUSG00000037503	Fam168b	family with sequence similarity 168, member B [Source:MGI Symbol;Acc:MGI:2448487]	protein_coding
ENSMUSG00000026123	Plekhb2	pleckstrin homology domain containing, family B (evectins) member 2 [Source:MGI Symbol;Acc:MGI:2385825]	protein_coding
ENSMUSG00000104417	Gm37068	predicted gene, 37068 [Source:MGI Symbol;Acc:MGI:5610296]	lncRNA
ENSMUSG00000101714	Gm28415	predicted gene 28415 [Source:MGI Symbol;Acc:MGI:5579121]	lncRNA
ENSMUSG00000102531	1110002O04Rik	RIKEN cDNA 1110002O04 gene [Source:MGI Symbol;Acc:MGI:1915733]	lncRNA
ENSMUSG00000102279	Gm37146	predicted gene, 37146 [Source:MGI Symbol;Acc:MGI:5610374]	lncRNA
ENSMUSG00000103708	Gm33222	predicted gene, 33222 [Source:MGI Symbol;Acc:MGI:5592381]	lncRNA
ENSMUSG00000104201	4930535G08Rik	RIKEN cDNA 4930535G08 gene [Source:MGI Symbol;Acc:MGI:1925283]	lncRNA
ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1354958]	protein_coding
ENSMUSG00000104523	Gm37335	predicted gene, 37335 [Source:MGI Symbol;Acc:MGI:5610563]	lncRNA
ENSMUSG00000102202	Gm33280	predicted gene, 33280 [Source:MGI Symbol;Acc:MGI:5592439]	lncRNA
ENSMUSG00000037470	Uggt1	UDP-glucose glycoprotein glucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2443162]	protein_coding
ENSMUSG00000047180	Neurl3	neuralized E3 ubiquitin protein ligase 3 [Source:MGI Symbol;Acc:MGI:2429944]	protein_coding
ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like) [Source:MGI Symbol;Acc:MGI:2443039]	protein_coding
ENSMUSG00000102762	4930403P22Rik	RIKEN cDNA 4930403P22 gene [Source:MGI Symbol;Acc:MGI:1921057]	lncRNA
ENSMUSG00000010453	Kansl3	KAT8 regulatory NSL complex subunit 3 [Source:MGI Symbol;Acc:MGI:1918055]	protein_coding
ENSMUSG00000037432	Fer1l5	fer-1-like 5 (C. elegans) [Source:MGI Symbol;Acc:MGI:3616091]	protein_coding
ENSMUSG00000001143	Lman2l	lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]	protein_coding
ENSMUSG00000037408	Cnnm4	cyclin M4 [Source:MGI Symbol;Acc:MGI:2151060]	protein_coding
ENSMUSG00000001138	Cnnm3	cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]	protein_coding
ENSMUSG00000102845	Gm38033	predicted gene, 38033 [Source:MGI Symbol;Acc:MGI:5611261]	lncRNA
ENSMUSG00000067653	Ankrd23	ankyrin repeat domain 23 [Source:MGI Symbol;Acc:MGI:1925571]	protein_coding
ENSMUSG00000079610	Ankrd39	ankyrin repeat domain 39 [Source:MGI Symbol;Acc:MGI:1914816]	protein_coding
ENSMUSG00000026121	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C [Source:MGI Symbol;Acc:MGI:109252]	protein_coding
ENSMUSG00000087589	D430040D24Rik	RIKEN cDNA D430040D24 gene [Source:MGI Symbol;Acc:MGI:2442526]	lncRNA
ENSMUSG00000046337	Fam178b	family with sequence similarity 178, member B [Source:MGI Symbol;Acc:MGI:3026913]	protein_coding
ENSMUSG00000061518	Cox5b	cytochrome c oxidase subunit 5B [Source:MGI Symbol;Acc:MGI:88475]	protein_coding
ENSMUSG00000037351	Actr1b	ARP1 actin-related protein 1B, centractin beta [Source:MGI Symbol;Acc:MGI:1917446]	protein_coding
ENSMUSG00000102416	4933424G06Rik	RIKEN cDNA 4933424G06 gene [Source:MGI Symbol;Acc:MGI:1918416]	protein_coding
ENSMUSG00000104237	Gm33533	predicted gene, 33533 [Source:MGI Symbol;Acc:MGI:5592692]	lncRNA
ENSMUSG00000026117	Zap70	zeta-chain (TCR) associated protein kinase [Source:MGI Symbol;Acc:MGI:99613]	protein_coding
ENSMUSG00000026116	Tmem131	transmembrane protein 131 [Source:MGI Symbol;Acc:MGI:1927110]	protein_coding
ENSMUSG00000102930	Gm38115	predicted gene, 38115 [Source:MGI Symbol;Acc:MGI:5611343]	lncRNA
ENSMUSG00000050122	Vwa3b	von Willebrand factor A domain containing 3B [Source:MGI Symbol;Acc:MGI:1918103]	protein_coding
ENSMUSG00000103603	Gm37020	predicted gene, 37020 [Source:MGI Symbol;Acc:MGI:5610248]	lncRNA
ENSMUSG00000026114	Cnga3	cyclic nucleotide gated channel alpha 3 [Source:MGI Symbol;Acc:MGI:1341818]	protein_coding
ENSMUSG00000026113	Inpp4a	inositol polyphosphate-4-phosphatase, type I [Source:MGI Symbol;Acc:MGI:1931123]	protein_coding
ENSMUSG00000086064	4930439A04Rik	RIKEN cDNA 4930439A04 gene [Source:MGI Symbol;Acc:MGI:1925369]	lncRNA
ENSMUSG00000026112	Coa5	cytochrome C oxidase assembly factor 5 [Source:MGI Symbol;Acc:MGI:1923428]	protein_coding
ENSMUSG00000026111	Unc50	unc-50 homolog [Source:MGI Symbol;Acc:MGI:1914637]	protein_coding
ENSMUSG00000026110	Mgat4a	mannoside acetylglucosaminyltransferase 4, isoenzyme A [Source:MGI Symbol;Acc:MGI:2662992]	protein_coding
ENSMUSG00000026090	2010300C02Rik	RIKEN cDNA 2010300C02 gene [Source:MGI Symbol;Acc:MGI:1919347]	protein_coding
ENSMUSG00000089767	4930556I23Rik	RIKEN cDNA 4930556I23 gene [Source:MGI Symbol;Acc:MGI:1922520]	lncRNA
ENSMUSG00000060771	Tsga10	testis specific 10 [Source:MGI Symbol;Acc:MGI:2685063]	protein_coding
ENSMUSG00000097268	Gm26805	predicted gene, 26805 [Source:MGI Symbol;Acc:MGI:5477299]	lncRNA
ENSMUSG00000037216	Lipt1	lipoyltransferase 1 [Source:MGI Symbol;Acc:MGI:3645211]	protein_coding
ENSMUSG00000026088	Mitd1	MIT, microtubule interacting and transport, domain containing 1 [Source:MGI Symbol;Acc:MGI:1916278]	protein_coding
ENSMUSG00000026087	Mrpl30	mitochondrial ribosomal protein L30 [Source:MGI Symbol;Acc:MGI:1333820]	protein_coding
ENSMUSG00000061584	Lyg2	lysozyme G-like 2 [Source:MGI Symbol;Acc:MGI:2685622]	protein_coding
ENSMUSG00000087374	Gm15457	predicted gene 15457 [Source:MGI Symbol;Acc:MGI:3705190]	lncRNA
ENSMUSG00000026085	Lyg1	lysozyme G-like 1 [Source:MGI Symbol;Acc:MGI:1916791]	protein_coding
ENSMUSG00000058407	Txndc9	thioredoxin domain containing 9 [Source:MGI Symbol;Acc:MGI:2138153]	protein_coding
ENSMUSG00000026083	Eif5b	eukaryotic translation initiation factor 5B [Source:MGI Symbol;Acc:MGI:2441772]	protein_coding
